service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20,0,0,0,0,0,0,0,20240601,20240823
28,0,0,0,0,0,0,0,20240601,20240823
39,0,0,0,0,0,0,0,20240601,20240823
40,0,0,0,0,0,0,0,20240601,20240823
41,0,0,0,0,0,0,0,20240601,20240823
42,0,0,0,0,0,0,0,20240601,20240823
24,0,0,0,0,0,0,0,20240601,20240823
25,0,0,0,0,0,0,0,20240601,20240823
26,0,0,0,0,0,0,0,20240601,20240823
27,0,0,0,0,0,0,0,20240601,20240823
29,0,0,0,0,0,0,0,20240601,20240823
43,0,0,0,0,0,0,0,20240601,20240823
2,0,0,0,0,0,0,0,20240601,20240823
3,0,0,0,0,0,1,0,20240601,20240823
4,0,0,0,0,0,0,1,20240601,20240823
5,1,1,1,1,1,0,0,20240601,20240823
21,0,0,0,0,0,0,0,20240601,20240823
33,0,0,0,0,0,0,0,20240601,20240823
34,0,0,0,0,0,0,0,20240601,20240823
